X	Y (m)	z(m)		
	"4.22e3,"	3.66		
	"4.23e3,"	3.66		
	"4.23e3,"	3.66		
	"4.23e3,"	3.66		
	"4.24e3,"	3.66		
	"4.24e3,"	3.66		
	"4.25e3,"	3.66		
	"4.25e3,"	3.67		
	"4.25e3,"	3.67		
	"4.26e3,"	3.67		
	"4.26e3,"	3.67		
	"4.26e3,"	3.67		
	"4.27e3,"	3.68		
	"4.27e3,"	3.68		
	"4.27e3,"	3.68		
	"4.28e3,"	3.68		
	"4.28e3,"	3.68		
	"4.28e3,"	3.69		
	"4.29e3,"	3.69		
	"4.29e3,"	3.69		
	"4.29e3,"	3.69		
	"4.3e3,"	3.69		
	"4.3e3,"	3.69		
	"4.31e3,"	3.69		
	"4.31e3,"	3.7		
	"4.31e3,"	3.7		
	"4.32e3,"	3.7		
	"4.32e3,"	3.7		
	"4.32e3,"	3.7		
	"4.33e3,"	3.7		
	"4.33e3,"	3.7		
	"4.33e3,"	3.71		
	"4.34e3,"	3.71		
	"4.34e3,"	3.71		
	"4.34e3,"	3.71		
	"4.35e3,"	3.72		
	"4.35e3,"	3.72		
	"4.36e3,"	3.72		
	"4.36e3,"	3.72		
	"4.36e3,"	3.72		
	"4.37e3,"	3.73		
	"4.37e3,"	3.73		
	"4.37e3,"	3.73		
	"4.38e3,"	3.73		
	"4.38e3,"	3.73		
	"4.38e3,"	3.73		
	"4.39e3,"	3.73		
	"4.39e3,"	3.73		
	"4.39e3,"	3.73		
	"4.4e3,"	3.74		
	"4.4e3,"	3.74		
	"4.4e3,"	3.74		
	"4.41e3,"	3.74		
	"4.41e3,"	3.74		
	"4.42e3,"	3.75		
	"4.42e3,"	3.75		
	"4.42e3,"	3.75		
	"4.43e3,"	3.75		
	"4.43e3,"	3.75		
	"4.43e3,"	3.76		
	"4.44e3,"	3.76		
	"4.44e3,"	3.76		
	"4.44e3,"	3.76		
	"4.45e3,"	3.76		
	"4.45e3,"	3.76		
	"4.45e3,"	3.76		
	"4.46e3,"	3.76		
	"4.46e3,"	3.76		
	"4.47e3,"	3.77		
	"4.47e3,"	3.77		
	"4.47e3,"	3.77		
	"4.48e3,"	3.77		
	"4.48e3,"	3.77		
	"4.48e3,"	3.77		
	"4.49e3,"	3.78		
	"4.49e3,"	3.78		
	"4.49e3,"	3.78		
	"4.5e3,"	3.78		
	"4.5e3,"	3.78		
	"4.5e3,"	3.79		
	"4.51e3,"	3.79		
	"4.51e3,"	3.79		
	"4.51e3,"	3.79		
	"4.52e3,"	3.79		
	"4.52e3,"	3.79		
	"4.53e3,"	3.79		
	"4.53e3,"	3.79		
	"4.53e3,"	3.79		
	"4.54e3,"	3.79		
	"4.54e3,"	3.8		
	"4.54e3,"	3.8		
	"4.55e3,"	3.8		
	"4.55e3,"	3.8		
	"4.55e3,"	3.8		
	"4.56e3,"	3.8		
	"4.56e3,"	3.81		
	"4.56e3,"	3.81		
	"4.57e3,"	3.81		
	"4.57e3,"	3.81		
	"4.57e3,"	3.81		
	"4.58e3,"	3.81		
	"4.58e3,"	3.81		
	"4.59e3,"	3.81		
	"4.59e3,"	3.81		
	"4.59e3,"	3.81		
	"4.6e3,"	3.81		
	"4.6e3,"	3.81		
	"4.6e3,"	3.81		
	"4.61e3,"	3.81		
	"4.61e3,"	3.81		
	"4.61e3,"	3.81		
	"4.62e3,"	3.81		
	"4.62e3,"	3.83		
	"4.62e3,"	3.83		
	"4.63e3,"	3.83		
	"4.63e3,"	3.83		
	"4.64e3,"	3.83		
	"4.64e3,"	3.83		
	"4.64e3,"	3.83		
	"4.65e3,"	3.83		
	"4.65e3,"	3.83		
	"4.65e3,"	3.83		
	"4.66e3,"	3.83		
	"4.66e3,"	3.83		
	"4.66e3,"	3.85		
	"4.67e3,"	3.85		
	"4.67e3,"	3.85		
	"4.67e3,"	3.85		
	"4.68e3,"	3.85		
	"4.68e3,"	3.85		
	"4.68e3,"	3.85		
	"4.69e3,"	3.85		
	"4.69e3,"	3.85		
	"4.7e3,"	3.85		
	"4.7e3,"	3.85		
	"4.7e3,"	3.85		
	"4.71e3,"	3.85		
	"4.71e3,"	3.85		
	"4.71e3,"	3.85		
	"4.72e3,"	3.85		
	"4.72e3,"	3.85		
	"4.72e3,"	3.85		
	"4.73e3,"	3.87		
	"4.73e3,"	3.87		
	"4.73e3,"	3.87		
	"4.74e3,"	3.87		
	"4.74e3,"	3.87		
	"4.75e3,"	3.87		
	"4.75e3,"	3.88		
	"4.75e3,"	3.88		
	"4.76e3,"	3.88		
	"4.76e3,"	3.88		
	"4.76e3,"	3.88		
	"4.77e3,"	3.88		
	"4.77e3,"	3.89		
	"4.77e3,"	3.89		
	"4.78e3,"	3.89		
	"4.78e3,"	3.89		
	"4.78e3,"	3.89		
	"4.79e3,"	3.89		
	"4.79e3,"	3.89		
	"4.79e3,"	3.89		
	"4.8e3,"	3.89		
	"4.8e3,"	3.89		
	"4.81e3,"	3.89		
	"4.81e3,"	3.89		
	"4.81e3,"	3.89		
	"4.82e3,"	3.9		
	"4.82e3,"	3.9		
	"4.82e3,"	3.9		
	"4.83e3,"	3.9		
	"4.83e3,"	3.9		
	"4.83e3,"	3.9		
	"4.84e3,"	3.91		
	"4.84e3,"	3.91		
	"4.84e3,"	3.91		
	"4.85e3,"	3.91		
